gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
Ugdh,9.675058579102721,8.18330657794743,-1.491752001155291,5.0964715355046495e-06,0.0011464728852092934,9,9
Hnf1aos1,1.7450786001950027,0.38373667790167143,-1.3613419222933314,5.1597937632822446e-06,0.0011464728852092934,9,9
Nsdhl,6.497704365012343,4.799480448419674,-1.698223916592669,5.3181063551880695e-06,0.0011628925896677912,9,9
Ehhadh,1.7236678898991034,0.45858766681768004,-1.2650802230814233,5.650034755268297e-06,0.001216169981071501,9,9
Acat2,7.625437848111393,6.088325380403614,-1.5371124677077797,5.770442964818841e-06,0.001222978804359144,9,9
Slc7a7,5.3230426652840865,3.7023826336998593,-1.6206600315842272,6.169143590065493e-06,0.0012876685166173067,9,9
Taok3,6.046690690751347,5.184103216262539,-0.8625874744888078,6.39092384440325e-06,0.0013140502519477489,9,9
Rtn3,8.631250856276484,8.034967233894497,-0.5962836223819874,7.394830556997198e-06,0.0014275871881694812,9,9
Stx7,6.93758887288693,6.195346020186317,-0.7422428527006124,7.1865960869101135e-06,0.0014275871881694812,9,9
Sult1c2,6.882600406382076,3.522342674716315,-3.3602577316657607,7.461257081025163e-06,0.0014275871881694812,9,9
Abcd3,7.281055791508509,6.32682091877021,-0.954234872738299,7.260281012267166e-06,0.0014275871881694812,9,9
Tmem14a,2.2926397121102813,1.4488631873265303,-0.843776524783751,7.38836038355286e-06,0.0014275871881694812,9,9
Dyrk2,5.451253079423832,4.6141790239418405,-0.8370740554819918,7.867018019327503e-06,0.001484603290880215,9,9
Vnn1,7.750472792223665,5.461376597005624,-2.2890961952180406,8.27927184083487e-06,0.001541287147018124,9,9
Idh1,7.889742387009751,6.194946817883729,-1.6947955691260228,8.589390289008064e-06,0.0015776992082850011,9,9
Cgn,6.422781093727001,5.407299191615213,-1.0154819021117882,9.227138394340048e-06,0.0016241087992440405,9,9
Pls1,7.095287234923192,5.501042370870392,-1.5942448640527997,9.10560929348737e-06,0.0016241087992440405,9,9
Ociad2,7.4434444031870015,5.4584607994440395,-1.984983603742962,9.313632051413996e-06,0.0016241087992440405,9,9
Armc10,5.961329797322227,5.54930803029318,-0.4120217670290467,9.222708044486583e-06,0.0016241087992440405,9,9
Papss2,6.769572010789798,4.408272939139813,-2.3612990716499844,1.0051658773390459e-05,0.0017023908346582366,9,9
Cxcl5,6.678791829597802,4.262296973048509,-2.416494856549293,1.0133278777727598e-05,0.0017023908346582366,9,9
Rab17,3.408953340293285,1.6270704538694807,-1.7818828864238043,9.953071588834534e-06,0.0017023908346582366,9,9
Lipa,7.099985347024844,5.586569738274206,-1.5134156087506376,1.040212873400725e-05,0.0017265027161407697,9,9
Col7a1,0.7542942087373768,2.926397160524187,2.17210295178681,1.0976651629738592e-05,0.0018001708672771293,9,9
Atp10a,4.487060870176549,5.51434294537275,1.0272820751962009,1.2682939693707045e-05,0.0019854565593239574,9,9
Sprr1a,7.838824740428352,6.008459285994997,-1.8303654544333554,1.2623025881539727e-05,0.0019854565593239574,9,9
Tmbim4,6.051840393654015,5.1971858272139775,-0.8546545664400371,1.2667154208314965e-05,0.0019854565593239574,9,9
Frat1,4.189937496710244,2.337361230781065,-1.8525762659291791,1.2403645634555453e-05,0.0019854565593239574,9,9
Ydjc,4.3411534972295085,3.1552817762601286,-1.1858717209693799,1.3086431429737557e-05,0.0020256031390569057,9,9
Upp1,3.1460575083374587,4.839452615600225,1.693395107262766,1.3723599944006015e-05,0.0020432860100264207,9,9
Gm19426,0.2824870617678736,0.9968474090312436,0.7143603472633699,1.3873279739661463e-05,0.0020432860100264207,9,9
Itga1,6.450513238031036,4.204962226157277,-2.2455510118737587,1.3942282588740094e-05,0.0020432860100264207,9,9
Vil1,7.0827887342256135,4.5466492818051165,-2.536139452420497,1.3482763110774489e-05,0.0020432860100264207,9,9
Wbp1l,7.206872811333379,6.507036731038316,-0.6998360802950625,1.3808030737214756e-05,0.0020432860100264207,9,9
Smarcd2,6.557342661300459,6.855719445257495,0.2983767839570364,1.528008337422711e-05,0.0021926919642015906,9,9
Gm7694,3.5305566022735295,1.9871242095608592,-1.5434323927126703,1.527666543588619e-05,0.0021926919642015906,9,9
Afm,1.170001062081609,0.1794582141046615,-0.9905428479769476,1.6040509898300068e-05,0.0022097406435898173,9,9
Slc40a1,6.518537818128866,3.8323390119161465,-2.68619880621272,1.5978638730802304e-05,0.0022097406435898173,9,9
Slc44a3,5.379181569714569,2.772031892442325,-2.607149677272244,1.5749070822188793e-05,0.0022097406435898173,9,9
Gm5873,1.865724361737249,0.8300439793879284,-1.0356803823493206,1.5626869352091636e-05,0.0022097406435898173,9,9
Arl14,5.254010091510604,3.636585455779136,-1.6174246357314677,1.6259890204284786e-05,0.0022177846282596756,9,9
Opn3,0.5701286940386949,1.312575916711211,0.7424472226725161,1.651241828708759e-05,0.0022301477874795946,9,9
