gene,jq1_log2FC,reversed
CERKL,-0.459422253312324,0
SYNE1,-2.651315268021717,0
LNP1,0.3475151832160299,1
SMIM10,0.2462487263636417,1
PRDX2,-2.763694199132634,0
ARNTL2,-0.17814074026089521,0
CCDC178,0.0,0
DHX32,-0.124919986577682,0
IFIT2,-2.273002035576406,0
MIR100HG,0.021939151732121687,1
IFI16,-1.59457967751329,0
LINC01002,-0.6347301395668392,0
BCL2A1,-2.085901188381257,0
BCAT1,-2.0178844286241864,0
RAB38,-1.194681687910599,0
PARP8,-1.051265752723869,0
STEAP1,-1.167266899191107,0
PRKCA,-0.24552404764875035,0
EML4,-0.3791031903225761,0
IER3,-0.3322903048500976,0
NUDT16P1,-0.4108461420317562,0
SOD3,0.0,0
GPR39,-1.6748178181046436,0
MBP,-0.7060450916176464,0
FAR2P2,0.11891638058261655,1
THBS1,-3.077657515262308,0
IQCJ-SCHIP1,-2.2542515915364563,0
SPOCK1,-1.9758815128200204,0
RCSD1,-1.464652134424571,0
ZNF629,-1.1554097599689896,0
ADAMTS3,-0.2458721900139068,0
TXNDC2,-1.5331694149326338,0
MYRIP,-0.6711173157179257,0
SOX21-AS1,-2.762896985240281,0
IRAK2,-0.46859058937428344,0
DSEL,-1.5875575915875961,0
MYO10,-1.056309617732209,0
PROCR,-1.0841406587249178,0
RBPMS,-1.3111631038688931,0
SLC38A4,1.0183202921993137,1
RIPPLY2,-0.7511050975774411,0
PKDCC,-1.5820243288035885,0
LINC01106,-1.7240688680865812,0
SRGN,-2.6673933463387858,0
OLFML2A,-2.2634210931056415,0
PPAP2B,-0.976267485449803,0
SATB1,-0.6943995862087238,0
RCAN2,-0.2009499516235701,0
DPY19L2P1,-1.3709771770688475,0
LSAMP,-1.4383093187129798,0
EPB41L4B,-1.1029147885080643,0
GBGT1,-0.8035768170078463,0
GAB3,0.41067460931413624,1
CT62,-1.5481982995330608,0
LINC00839,-0.5073559727901751,0
DACH2,0.6708532025409077,1
CYB5B,-0.619456538703588,0
SORBS1,-0.2780137664689155,0
LRAT,0.6691127001915369,1
ANKRD34A,-0.6589138543760025,0
FST,-1.0004169922058193,0
ZNF827,-1.8470767704707143,0
F2R,-1.431121025135079,0
EPHB6,-2.1504186234426896,0
EMP1,-1.9552798223886514,0
ONECUT3,-0.8671189768088912,0
ALX1,-0.5293336732456424,0
NPTX1,0.2133757957509843,1
KYNU,-0.32396009013577426,0
OCIAD2,-1.7505569962285623,0
FAM102A,-0.6348729329947869,0
MAP3K5,-1.06997534197167,0
LGALS8,-0.12994046287783156,0
HES7,0.6738822472206962,1
IRAK3,-0.6411415887618155,0
AKT3,-1.6422162350066891,0
MEG3,-0.3923296695356573,0
BTG1,0.788979427330526,1
WBP1L,-0.6587595887383682,0
AP1S3,-0.4823599341556033,0
ARSJ,-0.7784131338708917,0
NDRG1,0.3046127275779362,1
FOS,1.992750964562977,1
SLAIN1,0.9700262144390903,1
DUSP5,-0.09225526407438522,0
LOC100506178,-2.177094500505396,0
PARM1,-0.8619895112767578,0
NEK6,-0.9120988544555768,0
LOC440028,-0.6238813485782391,0
SMARCA2,-0.6632383132931157,0
DOCK5,0.21704541035126645,1
KCNK3,-2.136536978298566,0
TMEM171,-0.891734179957707,0
